year,deliveries,production,model_3y_deliveries,other_deliveries,total_revenue_b,automotive_revenue_b,energy_revenue_b,services_revenue_b,auto_gross_margin_pct,total_gross_margin_pct,operating_margin_pct,notes
2016,76285,83922,,76285,7.00,6.40,0.18,0.47,22.8,22.7,-9.5,Pre-Model 3; S/X era
2017,103181,103181,1770,101411,11.76,10.60,1.12,1.01,18.9,18.9,-13.9,Model 3 first deliveries late 2017
2018,245240,254730,145846,99394,21.46,17.63,1.56,1.39,18.5,18.8,-1.8,3/Y mix estimated from public mix
2019,367849,365232,300903,66946,24.58,20.82,1.53,2.23,21.2,16.8,-0.3,3/Y mix estimated from public mix
2020,499550,509737,442511,57039,31.54,27.24,1.99,2.31,21.0,21.0,6.3,
2021,936222,930422,911242,24980,53.82,47.23,2.79,3.80,29.3,25.3,12.1,
2022,1313851,1369611,1247146,66705,81.46,71.46,3.91,6.09,28.5,25.6,16.8,
2023,1808581,1845985,1739707,68874,96.77,82.42,6.04,8.32,19.4,18.2,9.2,
2024,1789226,1773443,1704093,85133,97.69,77.07,10.09,10.53,18.4,17.9,7.2,
2025,1636129,1654667,1585279,50850,94.83,69.53,12.77,12.53,17.8,18.0,4.6,
